
 	Ancona	Atalanta	Brescia	Cagliari	Fiorentina	Foggia	Genoa	Inter	Juventus	Lazio	Milan	Napoli	Parma	Pescara	Roma	Sampdoria	Torino	Udinese
Ancona	 	0-2	5-1	0-1	2-1	3-0	0-0	3-0	0-1	0-3	1-3	1-1	1-1	5-3	1-1	2-3	0-1	1-0
Atalanta	2-1	 	1-1	2-1	2-1	2-1	1-2	1-1	2-1	2-2	1-1	3-2	2-1	2-1	3-1	1-2	0-0	2-0
Brescia	1-1	2-0	 	0-2	1-1	4-1	2-2	1-3	2-0	2-0	0-1	2-1	0-1	1-0	0-2	3-1	0-0	2-1
Cagliari	3-0	2-1	3-1	 	2-1	1-1	3-0	0-0	0-0	1-1	1-1	1-0	0-1	4-0	1-0	0-2	0-0	1-1
Fiorentina	7-1	0-1	2-2	2-1	 	6-2	1-1	2-2	2-0	0-2	3-7	1-1	1-1	2-0	2-1	4-0	0-0	2-2
Foggia	1-0	1-0	0-0	1-1	1-0	 	2-2	1-3	2-1	2-1	2-2	2-4	1-0	1-0	0-0	1-0	0-0	1-0
Genoa	4-4	1-0	1-1	2-3	2-2	0-0	 	1-1	2-2	2-3	2-2	2-1	1-1	4-3	0-0	0-0	2-1	1-0
Inter	3-0	1-0	2-1	3-1	2-2	1-1	4-0	 	3-1	2-0	1-1	0-0	2-1	2-0	1-1	0-0	3-0	2-2
Juventus	5-1	4-1	0-0	2-1	3-0	4-2	1-0	0-2	 	4-1	0-1	4-3	2-2	2-1	1-1	1-1	2-1	5-1
Lazio	5-0	3-0	2-0	1-2	2-2	1-1	1-1	3-1	1-1	 	2-2	4-3	5-2	2-1	1-1	2-1	1-2	4-0
Milan	2-0	2-0	1-1	1-0	2-0	1-0	1-0	1-1	1-3	5-3	 	2-2	0-1	4-0	0-0	4-0	0-0	1-1
Napoli	0-0	1-0	0-0	1-0	4-1	2-0	2-2	1-2	2-3	3-1	1-5	 	1-1	2-0	2-1	1-1	1-1	3-0
Parma	3-0	0-0	2-0	3-1	1-1	4-0	1-0	2-0	2-1	2-1	0-2	1-1	 	1-0	3-1	1-0	2-2	3-1
Pescara	4-3	2-0	2-0	0-1	0-2	2-4	1-2	1-4	5-1	2-3	4-5	3-0	0-2	 	1-1	2-2	2-2	2-2
Roma	2-1	2-2	2-3	1-1	1-1	3-1	3-0	4-1	2-1	0-0	0-1	1-1	1-0	0-1	 	0-0	4-5	1-1
Sampdoria	3-1	2-3	1-0	2-0	2-0	3-3	4-1	1-3	1-1	3-3	1-2	3-1	2-1	1-1	2-2	 	0-1	2-0
Torino	4-1	1-1	1-0	0-5	1-1	1-1	1-1	1-2	1-2	1-1	1-1	0-1	3-0	3-1	0-0	2-2	 	1-0
Udinese	2-0	1-2	2-2	2-1	4-0	3-2	3-0	2-1	0-0	0-0	0-0	2-0	1-0	5-2	1-2	1-2	1-0	 
