
 	Atalanta	Cagliari	Cremonese	Foggia	Genoa	Inter	Juventus	Lazio	Lecce	Milan	Napoli	Parma	Piacenza	Reggiana	Roma	Sampdoria	Torino	Udinese
Atalanta	 	5-2	0-0	1-1	2-1	2-1	1-3	1-1	3-4	0-1	1-1	0-2	0-0	2-1	1-1	1-4	2-2	1-1
Cagliari	1-1	 	0-0	1-1	0-0	1-0	0-1	4-1	2-1	0-0	1-2	0-4	2-0	3-0	1-1	0-0	2-1	1-2
Cremonese	2-0	3-1	 	2-0	1-1	1-4	1-1	1-0	2-1	0-2	2-0	0-0	4-0	1-1	1-1	0-0	1-1	1-1
Foggia	1-1	0-1	1-1	 	3-0	1-1	1-1	4-1	5-0	1-1	0-1	3-2	1-0	1-0	1-1	1-2	1-0	2-2
Genoa	2-1	1-1	1-0	1-4	 	1-0	1-1	1-1	2-0	0-0	0-0	0-4	0-1	0-0	2-0	1-1	1-1	3-0
Inter	1-2	3-3	2-1	3-1	1-3	 	2-2	1-2	4-1	1-2	0-0	3-2	2-0	2-1	2-2	3-0	0-0	1-0
Juventus	2-1	1-1	1-0	2-0	4-0	1-0	 	6-1	5-1	0-1	1-0	4-0	2-0	4-0	0-0	3-1	3-2	1-0
Lazio	3-1	4-0	4-2	0-0	4-0	0-0	3-1	 	3-0	0-1	3-0	2-1	1-0	2-0	1-0	1-1	1-2	2-1
Lecce	5-1	0-1	2-4	0-2	0-0	1-3	1-1	1-2	 	0-1	0-1	1-1	1-1	2-4	0-2	0-3	1-2	1-0
Milan	2-0	2-1	1-0	2-1	1-0	2-1	1-1	0-0	0-0	 	2-1	1-1	2-0	0-1	2-0	1-0	1-0	2-2
Napoli	4-0	1-2	2-1	1-1	1-1	0-0	0-0	1-2	3-1	1-0	 	2-0	0-0	5-0	1-1	1-2	0-0	2-1
Parma	2-1	3-1	2-1	3-0	2-1	4-1	2-0	2-0	1-0	0-0	1-3	 	0-0	1-0	0-2	2-1	3-0	0-1
Piacenza	4-0	1-1	1-1	5-4	1-1	2-1	0-0	1-2	2-1	0-0	1-1	1-1	 	3-2	1-0	2-1	0-3	0-0
Reggiana	3-0	3-1	2-0	0-0	1-1	1-0	0-0	0-0	1-0	0-1	1-0	2-0	1-1	 	0-0	1-1	1-0	1-1
Roma	2-1	2-0	1-2	0-0	1-1	1-1	2-1	1-1	3-0	0-2	2-3	2-0	3-1	0-0	 	0-1	2-0	0-2
Sampdoria	3-1	1-2	3-1	6-0	1-1	3-1	1-1	3-4	2-1	3-2	4-1	1-1	2-1	1-0	0-1	 	1-0	6-2
Torino	2-1	2-1	1-1	1-4	2-0	2-0	1-1	1-1	3-0	0-0	1-1	1-2	1-0	2-0	1-1	2-3	 	1-0
Udinese	0-0	1-1	3-3	3-0	0-4	0-1	0-3	2-2	2-1	0-0	3-1	0-1	2-2	2-1	0-0	0-2	1-1	 
